,sample_0_1,sample_0_2,sample_0_3,sample_1_1,sample_1_2,sample_1_3,sample_2_1,sample_2_2,sample_2_3,sample_3_1,sample_3_2,sample_3_3,sample_4_1,sample_4_2,sample_4_3
LOXL3,39.28202180052275,38.585506303219674,40.04265060647315,45.594421585024975,43.556864355648955,44.98175995667802,55.09514517723337,49.63114848619479,52.16148476539219,60.21823302247487,61.859119957013334,62.072320849143715,67.03987917223749,66.67311452875421,66.20873086681824
LOXL4,71.25825904632131,73.66948643227225,73.42339494755353,90.20689970621278,77.18964680496363,75.19442524772542,99.6006084053254,91.24090044582309,100.74641460035012,108.24642049477615,104.36905371202279,117.37920652034042,123.71021963315692,128.6737245173022,122.05814291569094
MMP1,82.28261723173354,92.07762610252283,88.1644834031571,105.70761651174911,104.60489279498731,106.31673823390261,122.82476017222822,125.05260574378948,129.37901399495925,140.16478546739705,139.2998130287446,145.71717224012437,163.78043687989154,156.09086125859295,167.8214502396561
MMP12,54.044391817363596,57.16380987353258,60.25640632515512,74.97300101244046,76.48651100043362,71.54521158247265,84.16108073332265,88.96184901924596,83.51295396524468,93.47656125377752,96.93848848099731,101.94529123763112,111.84746834685637,111.0720304477572,109.23956837149443
MMP13,74.88317134700536,69.12772105653202,71.26138721812904,89.70470554203322,89.1178107455207,88.92311455422427,101.53954377604101,100.41097381417568,98.79999841609902,117.83483733334846,118.65560046318372,115.39284105417661,131.61085422250758,133.65756228228264,131.5456377398801
MMP2,113.28996203900866,105.31071473686796,114.44248612130643,142.94670563822504,145.79903052597703,144.13888256269843,158.8890342707048,156.26832033187145,150.6307336875657,187.11198689268184,190.20091033086854,193.00947778372833,202.96586810939027,204.58603030551222,194.0798436191659
MMP3,30.15850410459452,30.48035304286696,31.09807958666669,38.57649337871084,39.52816111548364,38.268291781996474,43.855340026384624,44.972827146561904,40.824887021466374,50.44635978165509,51.19689044348274,49.29560237680423,57.314724639800026,57.01401576146818,55.53807219225352
MMP7,89.06117147677305,93.0778489388167,87.65203010126322,99.63517736176982,101.37269793363417,105.60911388694747,130.47215594816151,127.7387434403579,118.24504404938124,136.1292204426736,142.12705445294986,139.91644552883778,155.4600524691975,150.36458106090933,160.30142787604083
MMP8,56.36645370746445,57.63994871582836,56.61680167110456,63.56792858706634,69.9169001986871,66.968114078572,79.28511103890922,81.73069481733046,76.56886338824677,89.61298978533058,85.36360848794158,89.84629450109006,106.73641665611467,97.73398934439416,103.07991063458039
MMP9,38.7843390830072,35.12062230093483,35.00335146455009,41.65069426921737,45.155267094907416,44.256080073047244,48.240669094754246,50.06667841307624,51.495131782593056,56.87668262563592,58.66166812327433,56.72963005029673,62.58938788519732,65.1679759704068,62.82586372343369
RUNX2,33.443783540147,33.49213175288601,34.31588077109093,39.18976020912671,40.17279167084556,40.75485290474842,48.90816123217895,48.20637096663456,52.88236618409822,56.025292283572384,55.71445685306076,51.83679996521507,60.78033836464946,59.45052911041775,63.269071806519676
SP7,42.306259914499044,42.71319453593835,40.018822946755726,46.46082080475073,47.93831145013803,49.010328898892304,60.693972041432886,57.874662880075704,53.816438421714984,66.13182931523136,66.072680379025,66.75465724687888,75.04862333566379,74.82616779366245,73.10663435634257
SPP1,41.758813080740005,41.1364383272688,42.28839063795504,52.82352357075607,54.091471287607064,52.075943712178,59.95376699369899,59.885059529117214,59.798266615449045,68.60670290761804,66.44546042674918,64.329111347096,78.81841788988373,77.32362427669486,75.99920748239765
TIMP1,35.97693858425941,34.38175794908773,38.9044460563701,42.63401152350888,45.287513201357655,41.706156396501186,51.92520785623752,50.7862594185729,52.13767302756075,59.16985771000805,60.29941117201807,59.88613651942414,65.47877331722621,66.96954976343123,67.98465617434577
TIMP2,67.93692998045161,64.19995216317301,65.2135163895204,79.78646189486678,85.56773401195572,81.71494876931911,96.38783869028617,95.66504625219702,91.45726066127558,104.54030602535765,100.88403220802853,105.22785757631051,117.68879059346486,121.87228037283039,121.25588923185627
TIMP3,39.90056030294105,38.17877672750264,38.1833131678705,45.98265604982487,40.61854351201588,48.1393035952982,52.73034189421827,53.78072199181235,51.43724104957883,58.541487007733096,59.820411566100866,59.43897949977813,67.71510547762439,66.40267020247884,69.11950907961841
TIMP4,40.205237482015065,41.07818399707297,39.266800732742,48.650362167294674,50.115212211472596,45.092413751142104,59.526469125870086,59.71252490831165,56.04198264203518,66.26459343092397,69.11584248788017,63.857168494659035,69.94746911822304,73.7207710014986,73.99508725652485
ACAN,36.941908823773915,36.205316077679115,35.878091050935396,43.829263243178204,42.06812624831378,42.28654814550838,50.57602517101108,47.53306742920527,51.49668287844569,60.976191880296305,59.94741111826851,60.92541263637572,66.8966670595743,62.45409250362589,67.95940579617005
VCAN,93.42333875642281,98.23365906927172,100.06032375096208,127.24148653980023,136.25575615409085,122.73822848139723,155.2363519267933,152.04123100816122,146.21264917278174,172.99312720964338,170.84712349692506,169.18727190680096,196.23589886670467,191.88083990689856,206.35552655391209
PRG4,44.06338036439298,41.20627249165484,44.93270384439925,49.991137787484,52.80778652663372,47.3285360735509,65.38549266654442,61.41531467928417,62.38262304744514,71.39428563613824,68.87558820357641,69.19786548611314,79.00609198882997,80.19088614079064,77.75737880191015
IL1B,50.11831014158311,45.8687192074152,46.69730556685812,55.86921967841912,55.45065186052886,58.55527586014588,66.62650202764944,63.81447390307027,63.7162122451789,75.14996134911118,75.997320612048,76.98817893736589,81.03091421226993,84.40398929009143,85.70222222830382
TNF,38.973113347615815,40.22762097004804,40.955093911997935,49.869692474886556,46.73656201394565,44.429726688134615,56.81608876945321,55.16679879872403,53.99452303928654,64.22690924259985,63.814893644333566,66.56001648994555,70.25586988140684,72.42678770412569,74.57960433933984
IL6,39.33231413162411,38.357358990308015,38.653788641773794,45.126355742056106,48.62947701796271,45.19130105575459,58.21003246216184,54.54538694444452,56.2409537743395,62.60789497112766,65.18337397931889,62.97070123546638,73.46305258256291,72.09598808467021,69.17417265270127
TGFB1,72.49255356800516,65.31290548772579,62.63590532831527,82.4989294334168,74.72444074786108,86.044613617415,98.00117929459135,91.92149379198656,89.05806155273119,106.82165535680748,107.92603812680804,109.7121562492799,125.31090342909546,128.59364836803664,125.97834455902519
